code,name
e435-il.dat,EPPLER 435 AIRFOIL
e471-il.dat,E471  (6.25%)
e472-il.dat,EPPLER 472 AIRFOIL
e473-il.dat,EPPLER 473 AIRFOIL
e474-il.dat,E474  (14.09%)
e475-il.dat,E475  (15.01%)
e479-il.dat,EPPLER 479 AIRFOIL
e485-il.dat,EPPLER 485 AIRFOIL
e49-il.dat,EPPLER 49 AIRFOIL
e502-il.dat,EPPLER 502 AIRFOIL
e520-il.dat,EPPLER 520 AIRFOIL
e521-il.dat,EPPLER 521 AIRFOIL
e540-il.dat,EPPLER 540 AIRFOIL
e541-il.dat,EPPLER 541 AIRFOIL
e542-il.dat,EPPLER 542 AIRFOIL
e543-il.dat,EPPLER 543 AIRFOIL
e544-il.dat,EPPLER 544 AIRFOIL
e545-il.dat,EPPLER 545 AIRFOIL
e546-il.dat,EPPLER 546 AIRFOIL
e547-il.dat,EPPLER 547 AIRFOIL
e548-il.dat,EPPLER 548 AIRFOIL
e549-il.dat,EPPLER 549 AIRFOIL
e550-il.dat,EPPLER 550 AIRFOIL
e551-il.dat,EPPLER 551 AIRFOIL
e552-il.dat,EPPLER 552 AIRFOIL
e553-il.dat,EPPLER 553 AIRFOIL
e554-il.dat,EPPLER 554 AIRFOIL
e555-il.dat,EPPLER 555 AIRFOIL
e556-il.dat,EPPLER 556 AIRFOIL
e557-il.dat,EPPLER 557 AIRFOIL
e558-il.dat,EPPLER 558 AIRFOIL
e559-il.dat,EPPLER 559 AIRFOIL
e560-il.dat,EPPLER 560 AIRFOIL
e561-il.dat,EPPLER 561 AIRFOIL
e562-il.dat,EPPLER 562 AIRFOIL
e58-il.dat,EPPLER 58 AIRFOIL
e580-il.dat,EPPLER 580 AIRFOIL
e582-il.dat,EPPLER 582 AIRFOIL
e583-il.dat,EPPLER 583 AIRFOIL
e584-il.dat,EPPLER 584 AIRFOIL
e585-il.dat,EPPLER 585 AIRFOIL
e587-il.dat,EPPLER 587 AIRFOIL
e59-il.dat,EPPLER 59 AIRFOIL
e591-il.dat,E591
e593-il.dat,EPPLER 593 AIRFOIL
e598-il.dat,EPPLER 598 AIRFOIL
e603-il.dat,EPPLER 603 AIRFOIL
e604-il.dat,EPPLER 604 AIRFOIL
e61-il.dat,E61  (5.64%)
e62-il.dat,E62  (5.62%)
e625-il.dat,EPPLER 625 AIRFOIL
e63-il.dat,E63  (4.25%)
e635-il.dat,EPPLER 635 AIRFOIL
e636-il.dat,EPPLER 636 AIRFOIL
e637-il.dat,EPPLER 637 AIRFOIL
e638-il.dat,EPPLER 638 AIRFOIL
e639-il.dat,EPPLER 639 AIRFOIL
e64-il.dat,E64  (8.45%)
e642-il.dat,EPPLER 642 AIRFOIL
e654-il.dat,EPPLER 654 AIRFOIL
e655-il.dat,EPPLER 655 AIRFOIL
e656-il.dat,EPPLER 656 AIRFOIL
e657-il.dat,EPPLER 657 AIRFOIL
e66-il.dat,EPPLER 66 AIRFOIL
e662-il.dat,EPPLER E662 AIRFOIL
e664-il.dat,EPPLER 664 AIRFOIL
e668-il.dat,EPPLER 668 AIRFOIL
e67-il.dat,EPPLER 67 AIRFOIL
e678-il.dat,EPPLER 678 AIRFOIL
e68-il.dat,EPPLER 68 AIRFOIL
e682-il.dat,EPPLER 682 AIRFOIL
e694-il.dat,EPPLER 694 AIRFOIL
